obj_id,pc1,pc2,true_class,cluster_id
1.237680272036e+18,1.2779319028417895,-0.8884834261648075,GALAXY,2
1237663478726460160,2.5512173099493896,0.6019553533804881,QSO,1
1237678858483597568,1.4702364106424475,-0.8048695820229205,GALAXY,2
1237666210854535936,-0.12524834978099286,-0.4813043046245147,STAR,2
1237657401341838080,1.0788506036097114,-0.21922496273267703,GALAXY,2
1237666434188248576,2.428675420235484,-0.8028194064644947,GALAXY,2
1237666434188248576,1.6304365289700875,-0.0914145350622359,GALAXY,2
1237667538011422720,-2.0881709911263884,1.619335951211227,QSO,0
1237667538012012544,-3.0056659775706756,0.07195252819496283,STAR,0
1237652944786686464,-0.25334003911561376,-0.5679572223759229,GALAXY,2
1237663478724690432,-1.0652641070902698,-0.4143549727824916,GALAXY,0
1237663478721937920,-1.5377995896803975,-0.0607047568179149,GALAXY,0
1237679998237737984,1.9415988923055212,-0.6438726353313217,GALAXY,2
1237667430099976448,-3.3656874205161404,0.06654905264156498,GALAXY,0
1237667430101024768,-1.921905937739962,0.5875786814605769,QSO,0
1237651538722554112,-1.3038800637426842,-0.22767415454925713,GALAXY,0
1237654879664865792,0.7539430750500127,-1.3330107831697509,GALAXY,2
1237654879665259264,0.1192068325859784,-0.45346072657167374,GALAXY,2
1237653652375405056,1.0403874644161297,-0.49834886289568453,GALAXY,2
1237653652377043200,0.2156632033924064,-0.6307769940508007,GALAXY,2
1237678622244864512,3.007350882287846,0.2143596519010559,GALAXY,2
1237657589783658752,-1.3116075000430252,-0.323508422296782,GALAXY,0
1237668294984728576,-2.8258481046568096,0.22330791576288847,GALAXY,0
1237678858477240832,2.8860383443964053,1.971686612227794,QSO,1
1237662342166348032,-2.0579261222025544,-0.794817820376552,STAR,0
1237653665257292288,1.3092595189001566,-0.44042646409793884,GALAXY,2
1237653665261027584,-2.7055247072008344,0.036583078663347604,GALAXY,0
1237660961324990720,0.6693126552241212,-1.0326237588989713,GALAXY,2
1237660961327677952,-2.1399018778435415,0.07337135844131396,GALAXY,0
1237667431716487424,0.19342099715580835,-1.6401998969844795,STAR,2
1237654879664079360,1.3399881050177325,-1.2377711498828752,GALAXY,2
1237654879666766080,-2.3796382775071634,-0.13334595295352278,GALAXY,0
1237653652374487808,1.438893058590193,-0.773042247784047,GALAXY,2
1.23766835404e+18,-4.367365117856549,0.39725874182424675,STAR,0
1237662341088674304,0.24080850741525556,-0.845435020398601,GALAXY,2
1237680272038691840,1.6888754911630512,-0.9919747341877942,GALAXY,2
1237657589785624832,0.7560123397650034,1.716221853850204,QSO,1
1237657589775073792,0.9932322324829919,-1.1667961217617242,STAR,2
1237680246807855872,0.8606723649920378,-0.37025145359156447,GALAXY,2
1237680246808117760,1.79602627467709,-0.918896789881952,GALAXY,2
1237680246808380160,1.978445341212639,-1.3267216379454017,GALAXY,2
1237652944786817280,1.5432464638185341,2.8844166459581686,QSO,1
1237650370476573184,1.6322354265451873,-0.5666410745516823,STAR,2
1237680272038626304,1.887097198908088,-0.1586976662563779,GALAXY,2
1237678858484449536,-3.381307536197364,0.1483169712513629,QSO,0
1237657401345049344,1.3652941587453853,-0.2054089411692627,GALAXY,2
1237657401334891008,-2.6090500476932794,0.029958146662850706,GALAXY,0
1237657401344852224,-3.9512213918358676,0.05785963963661034,GALAXY,0
1237657401336398336,1.7496877452157604,-0.9175442413099172,GALAXY,2
1237661924478616320,0.787186581754355,-1.0990756777016872,STAR,2
1237680122246398720,1.735426615474216,-1.2777385365284835,GALAXY,2
1237680122246595072,-0.6890017759699968,-0.3309817181507254,GALAXY,2
1237678618488537600,2.598220181345468,0.1348045801051027,QSO,2
1237661972269236224,-2.5685019460521974,0.20656390558407048,STAR,0
1237667538013192192,0.5486568417298995,2.4197969159376407,QSO,1
1237657608567456000,0.6062441902566885,2.23560251731205,QSO,1
1237680246804840960,0.8206873711946271,-0.03440399900486335,GALAXY,2
1237652944786555136,-2.4823646480992645,-0.18076147661969244,GALAXY,0
1237680262926958848,1.3249991235117862,-0.494166585076425,GALAXY,2
1237679998236688896,0.8309619516865948,-0.29368423512403274,GALAXY,2
1237679998237081856,0.6503963660090919,-0.4216243256597909,GALAXY,2
