class,fpr,tpr
STAR,0.180905,1.0
STAR,0.18593,1.0
STAR,0.190955,1.0
STAR,0.19598,1.0
STAR,0.201005,1.0
STAR,0.20603,1.0
STAR,0.211055,1.0
STAR,0.21608,1.0
STAR,0.221106,1.0
STAR,0.226131,1.0
STAR,0.231156,1.0
STAR,0.236181,1.0
STAR,0.241206,1.0
STAR,0.246231,1.0
STAR,0.251256,1.0
STAR,0.256281,1.0
STAR,0.261307,1.0
STAR,0.266332,1.0
STAR,0.271357,1.0
STAR,0.276382,1.0
STAR,0.281407,1.0
STAR,0.286432,1.0
STAR,0.291457,1.0
STAR,0.296482,1.0
STAR,0.301508,1.0
STAR,0.306533,1.0
STAR,0.311558,1.0
STAR,0.316583,1.0
STAR,0.321608,1.0
STAR,0.326633,1.0
STAR,0.331658,1.0
STAR,0.336683,1.0
STAR,0.341709,1.0
STAR,0.346734,1.0
STAR,0.351759,1.0
STAR,0.356784,1.0
STAR,0.361809,1.0
STAR,0.366834,1.0
STAR,0.371859,1.0
STAR,0.376884,1.0
STAR,0.38191,1.0
STAR,0.386935,1.0
STAR,0.39196,1.0
STAR,0.396985,1.0
STAR,0.40201,1.0
STAR,0.407035,1.0
STAR,0.41206,1.0
STAR,0.417085,1.0
STAR,0.422111,1.0
STAR,0.427136,1.0
STAR,0.432161,1.0
STAR,0.437186,1.0
STAR,0.442211,1.0
STAR,0.447236,1.0
STAR,0.452261,1.0
STAR,0.457286,1.0
STAR,0.462312,1.0
STAR,0.467337,1.0
STAR,0.472362,1.0
STAR,0.477387,1.0
STAR,0.482412,1.0
STAR,0.487437,1.0
STAR,0.492462,1.0
STAR,0.497487,1.0
STAR,0.502513,1.0
STAR,0.507538,1.0
STAR,0.512563,1.0
STAR,0.517588,1.0
STAR,0.522613,1.0
STAR,0.527638,1.0
STAR,0.532663,1.0
STAR,0.537688,1.0
STAR,0.542714,1.0
STAR,0.547739,1.0
STAR,0.552764,1.0
STAR,0.557789,1.0
STAR,0.562814,1.0
STAR,0.567839,1.0
STAR,0.572864,1.0
STAR,0.577889,1.0
STAR,0.582915,1.0
STAR,0.58794,1.0
STAR,0.592965,1.0
STAR,0.59799,1.0
