class,u_g,g_r,r_i,i_z
GALAXY,-0.1668599999999998,2.0359700000000025,1.1139699999999984,0.5219699999999996
GALAXY,0.7715500000000013,1.58737,0.9875399999999992,0.5360000000000014
GALAXY,0.2921599999999991,0.7715999999999994,0.80396,0.5779099999999993
GALAXY,2.3932199999999995,1.7130599999999987,0.6215800000000016,0.35322999999999993
STAR,-0.10313000000000017,2.3386700000000005,1.2607999999999997,1.0374100000000013
GALAXY,1.56813,1.7179000000000002,0.734960000000001,0.3166899999999977
GALAXY,0.4033599999999993,1.0880599999999987,0.859490000000001,0.3593900000000012
GALAXY,2.268419999999999,1.4675000000000011,0.5643700000000003,0.3962299999999992
GALAXY,2.838899999999999,1.5566700000000004,0.5774100000000004,0.44128999999999863
GALAXY,1.7519899999999993,1.089220000000001,0.46048000000000044,0.3474499999999985
GALAXY,1.8211000000000013,0.8155600000000014,0.37435999999999936,0.24906000000000006
GALAXY,1.309709999999999,0.6408900000000024,0.9249299999999998,0.6216799999999978
GALAXY,0.28748999999999825,-0.1384099999999968,1.604529999999997,-0.42109999999999914
STAR,3.057000000000002,1.6567900000000009,1.7203099999999978,0.9038600000000017
GALAXY,1.9717100000000016,1.197610000000001,0.48271999999999693,0.3567
QSO,0.6173000000000002,-0.11792000000000158,0.26689000000000007,0.2565899999999992
QSO,-0.08193999999999946,0.30471000000000004,0.16296999999999784,0.16246000000000294
GALAXY,0.11330999999999847,1.0343699999999991,1.1578400000000002,0.6411900000000017
GALAXY,0.7970500000000023,0.23602999999999952,0.2052499999999995,-0.05296000000000234
STAR,4.165710000000001,0.8844500000000011,0.057040000000000646,0.17514999999999858
GALAXY,0.018930000000001,1.761149999999997,1.050340000000002,0.3133999999999979
GALAXY,1.8945800000000013,1.7025100000000002,1.6789400000000008,0.842369999999999
GALAXY,3.325949999999999,1.7484499999999983,0.6559100000000022,0.48267999999999844
GALAXY,0.7122199999999985,1.2793300000000016,0.8997700000000002,-0.3319599999999987
GALAXY,1.7550899999999992,0.8745200000000004,0.8088300000000004,0.4641100000000016
STAR,1.3496799999999993,0.4481599999999979,0.15552000000000277,0.019600000000000506
GALAXY,1.9932799999999986,0.9600399999999993,0.4448500000000024,0.4298599999999979
GALAXY,1.6809000000000012,1.8032900000000005,1.1170799999999979,0.48651000000000266
QSO,-0.08769000000000204,0.42933999999999983,0.27428000000000097,0.25574999999999903
QSO,0.38937999999999917,0.8210300000000004,0.2769699999999986,0.29717000000000127
QSO,2.129629999999999,0.3186700000000009,0.003989999999998162,0.19059999999999988
GALAXY,1.8965199999999989,0.8956900000000001,0.4409900000000011,0.28906999999999883
GALAXY,2.4473800000000026,1.7761999999999993,0.6377199999999981,0.26847000000000065
GALAXY,2.1365300000000005,1.0625199999999992,0.4339800000000018,0.4014799999999994
QSO,0.0460799999999999,0.38667999999999836,-0.04089999999999705,0.5063699999999969
GALAXY,2.7212700000000005,1.7166399999999982,1.1100400000000015,-0.17337000000000202
GALAXY,1.432540000000003,1.6276999999999973,0.8255800000000022,0.48833999999999733
GALAXY,1.107809999999997,1.6137200000000007,0.717369999999999,0.31181000000000125
GALAXY,3.1682399999999973,1.7926000000000002,0.8084200000000017,0.7159799999999983
GALAXY,3.9709400000000024,1.3096599999999974,0.7609400000000015,0.39938000000000073
GALAXY,4.399329999999999,1.9156200000000005,0.9372299999999996,0.48860999999999777
GALAXY,0.8843499999999977,0.5269900000000014,0.39289999999999914,0.26689000000000007
GALAXY,0.5916199999999989,1.6009899999999995,1.2016100000000023,0.7563099999999991
GALAXY,2.0838600000000014,1.2247899999999987,0.46775000000000233,0.3549799999999994
GALAXY,2.0123500000000014,0.9810899999999982,0.42727999999999966,0.3490800000000007
GALAXY,0.5577900000000007,2.328620000000001,0.5263600000000004,-0.7383300000000013
QSO,0.5052599999999998,0.06736000000000075,0.12882000000000104,0.3798700000000004
QSO,1.9739799999999974,1.5041400000000031,1.1975899999999982,0.38955999999999946
GALAXY,-0.4573100000000032,2.2281200000000005,1.2728400000000022,0.5925799999999981
GALAXY,1.7744500000000016,1.9144100000000002,0.6670699999999989,0.42449000000000225
GALAXY,1.3907999999999987,0.7141300000000008,1.8196399999999997,1.3965700000000005
QSO,0.12845000000000084,0.10906999999999911,0.015190000000000481,-0.17105000000000103
QSO,0.3300200000000011,0.11573999999999884,0.13175999999999988,0.066670000000002
GALAXY,1.6312800000000003,1.0639299999999992,0.5017800000000001,0.37211000000000105
GALAXY,0.04338999999999871,1.7407000000000004,1.2607800000000005,0.7351500000000009
GALAXY,2.9835699999999967,1.2408300000000025,0.9263899999999978,0.42637000000000214
GALAXY,1.3817299999999975,0.670930000000002,0.42028999999999783,0.25345000000000084
GALAXY,0.059259999999998314,0.8548000000000009,0.5197399999999988,0.2710100000000004
GALAXY,0.12345000000000184,0.5216700000000003,0.6145099999999992,0.4776699999999998
GALAXY,2.057010000000002,1.77759,0.7738900000000015,0.452969999999997
STAR,1.457650000000001,0.503899999999998,0.1551700000000018,0.05999999999999872
STAR,1.3264499999999977,0.5121300000000026,0.1754599999999975,0.04086000000000212
QSO,0.43628,0.27323000000000164,0.2677000000000014,0.27210999999999785
STAR,1.42286,0.3556200000000018,0.1962699999999984,0.007079999999998421
GALAXY,1.378140000000002,1.0466300000000004,0.5111299999999979,0.3757300000000008
GALAXY,0.8977000000000004,1.5741399999999999,0.9453500000000012,0.3000499999999988
GALAXY,-0.8220700000000001,0.903299999999998,1.4576300000000018,0.15238000000000085
QSO,0.3624799999999979,1.0201400000000014,1.0141899999999993,-0.20486999999999966
GALAXY,0.3062100000000001,1.143650000000001,0.8453000000000017,0.4015299999999975
GALAXY,2.54411,1.5450899999999983,0.6280099999999997,0.39809999999999945
QSO,0.43376000000000303,0.18532999999999689,0.08870000000000289,0.5727399999999996
STAR,1.264800000000001,0.54514,0.21865999999999985,0.10762000000000072
GALAXY,-0.31755000000000067,0.9487999999999985,1.5005600000000001,0.8675200000000025
GALAXY,0.6401000000000003,1.2048999999999985,0.7396200000000022,0.5165100000000002
GALAXY,1.0765199999999986,0.6601600000000012,0.41358999999999924,0.1745100000000015
QSO,0.6838899999999981,0.20393000000000328,-0.005870000000001596,0.24775999999999954
STAR,0.9245100000000015,0.3908300000000011,0.1459099999999971,0.057080000000002684
GALAXY,5.285299999999999,1.4042600000000007,0.5674899999999994,0.35559999999999903
